ts_code,detect_date
603151.SH,20250911
603256.SH,20250911
605069.SH,20250911
000032.SZ,20250912
000070.SZ,20250912
000592.SZ,20250912
000603.SZ,20250912
000612.SZ,20250912
000737.SZ,20250912
000807.SZ,20250912
000878.SZ,20250912
000880.SZ,20250912
000933.SZ,20250912
001202.SZ,20250912
001309.SZ,20250912
002062.SZ,20250912
002335.SZ,20250912
002379.SZ,20250912
002436.SZ,20250912
002491.SZ,20250912
002515.SZ,20250912
002527.SZ,20250912
002532.SZ,20250912
002578.SZ,20250912
002642.SZ,20250912
002772.SZ,20250912
002798.SZ,20250912
002863.SZ,20250912
002905.SZ,20250912
002968.SZ,20250912
300244.SZ,20250912
300252.SZ,20250912
300324.SZ,20250912
300373.SZ,20250912
300670.SZ,20250912
300697.SZ,20250912
300738.SZ,20250912
300852.SZ,20250912
300895.SZ,20250912
301002.SZ,20250912
301308.SZ,20250912
600067.SH,20250912
600106.SH,20250912
600172.SH,20250912
600353.SH,20250912
600362.SH,20250912
600521.SH,20250912
600595.SH,20250912
600601.SH,20250912
600629.SH,20250912
600633.SH,20250912
600651.SH,20250912
600704.SH,20250912
600846.SH,20250912
601168.SH,20250912
601208.SH,20250912
601518.SH,20250912
601619.SH,20250912
603083.SH,20250912
603161.SH,20250912
603203.SH,20250912
603228.SH,20250912
603359.SH,20250912
603516.SH,20250912
603698.SH,20250912
603881.SH,20250912
603888.SH,20250912
603979.SH,20250912
603986.SH,20250912
603993.SH,20250912
605289.SH,20250912
000737.SZ,20250915
001309.SZ,20250915
002330.SZ,20250915
002392.SZ,20250915
002471.SZ,20250915
002703.SZ,20250915
300750.SZ,20250915
300813.SZ,20250915
301099.SZ,20250915
600531.SH,20250915
600601.SH,20250915
600977.SH,20250915
603050.SH,20250915
603127.SH,20250915
605319.SH,20250915
000428.SZ,20250916
000700.SZ,20250916
000967.SZ,20250916
001230.SZ,20250916
002172.SZ,20250916
002183.SZ,20250916
002279.SZ,20250916
002310.SZ,20250916
300013.SZ,20250916
300043.SZ,20250916
300299.SZ,20250916
300815.SZ,20250916
300953.SZ,20250916
301419.SZ,20250916
301607.SZ,20250916
600054.SH,20250916
600173.SH,20250916
600629.SH,20250916
603083.SH,20250916
603199.SH,20250916
603266.SH,20250916
603528.SH,20250916
603617.SH,20250916
603655.SH,20250916
603959.SH,20250916
605303.SH,20250916
002126.SZ,20250917
002222.SZ,20250917
002249.SZ,20250917
002338.SZ,20250917
002472.SZ,20250917
002549.SZ,20250917
002562.SZ,20250917
002611.SZ,20250917
002617.SZ,20250917
002796.SZ,20250917
300007.SZ,20250917
300115.SZ,20250917
300260.SZ,20250917
300469.SZ,20250917
300809.SZ,20250917
301002.SZ,20250917
301008.SZ,20250917
301100.SZ,20250917
301287.SZ,20250917
301392.SZ,20250917
301499.SZ,20250917
600410.SH,20250917
600895.SH,20250917
603275.SH,20250917
603286.SH,20250917
603308.SH,20250917
603809.SH,20250917
603906.SH,20250917
605299.SH,20250917
605588.SH,20250917
000559.SZ,20250918
002050.SZ,20250918
002067.SZ,20250918
301013.SZ,20250918
301421.SZ,20250918
600376.SH,20250918
600699.SH,20250918
603626.SH,20250918
603988.SH,20250918
001234.SZ,20250919
002272.SZ,20250919
002402.SZ,20250919
002468.SZ,20250919
002674.SZ,20250919
600498.SH,20250919
600706.SH,20250919
601869.SH,20250919
603519.SH,20250919
603618.SH,20250919
603686.SH,20250919
605255.SH,20250919
001337.SZ,20250922
002222.SZ,20250922
002246.SZ,20250922
002543.SZ,20250922
002549.SZ,20250922
002716.SZ,20250922
300501.SZ,20250922
300657.SZ,20250922
300846.SZ,20250922
300867.SZ,20250922
600489.SH,20250922
600509.SH,20250922
600857.SH,20250922
601069.SH,20250922
603618.SH,20250922
603686.SH,20250922
603798.SH,20250922
000975.SZ,20250923
002249.SZ,20250923
002402.SZ,20250923
002515.SZ,20250923
002706.SZ,20250923
300001.SZ,20250923
300250.SZ,20250923
300969.SZ,20250923
301086.SZ,20250923
301095.SZ,20250923
301217.SZ,20250923
600105.SH,20250923
600416.SH,20250923
600797.SH,20250923
603061.SH,20250923
605255.SH,20250923
000685.SZ,20250924
001208.SZ,20250924
001230.SZ,20250924
002040.SZ,20250924
002060.SZ,20250924
002207.SZ,20250924
300164.SZ,20250924
300483.SZ,20250924
300604.SZ,20250924
300666.SZ,20250924
600167.SH,20250924
600635.SH,20250924
600895.SH,20250924
603087.SH,20250924
605338.SH,20250924
000060.SZ,20250925
000571.SZ,20250925
000630.SZ,20250925
000737.SZ,20250925
000969.SZ,20250925
000977.SZ,20250925
000988.SZ,20250925
002029.SZ,20250925
002153.SZ,20250925
002195.SZ,20250925
002255.SZ,20250925
002294.SZ,20250925
002298.SZ,20250925
002326.SZ,20250925
002453.SZ,20250925
002471.SZ,20250925
002922.SZ,20250925
300111.SZ,20250925
300339.SZ,20250925
300354.SZ,20250925
300442.SZ,20250925
300571.SZ,20250925
300617.SZ,20250925
300697.SZ,20250925
300926.SZ,20250925
300963.SZ,20250925
301137.SZ,20250925
301189.SZ,20250925
301191.SZ,20250925
301199.SZ,20250925
301202.SZ,20250925
301235.SZ,20250925
301289.SZ,20250925
301500.SZ,20250925
600063.SH,20250925
600276.SH,20250925
600353.SH,20250925
600363.SH,20250925
600468.SH,20250925
601609.SH,20250925
603011.SH,20250925
603081.SH,20250925
603090.SH,20250925
603118.SH,20250925
603150.SH,20250925
603527.SH,20250925
603823.SH,20250925
603979.SH,20250925
603993.SH,20250925
605189.SH,20250925
605277.SH,20250925
000987.SZ,20250926
002049.SZ,20250926
002295.SZ,20250926
002510.SZ,20250926
002803.SZ,20250926
600025.SH,20250926
600403.SH,20250926
600459.SH,20250926
600769.SH,20250926
601619.SH,20250926
603083.SH,20250926
603156.SH,20250926
603313.SH,20250926
000973.SZ,20250929
001209.SZ,20250929
001258.SZ,20250929
002011.SZ,20250929
002073.SZ,20250929
002132.SZ,20250929
002140.SZ,20250929
002895.SZ,20250929
002925.SZ,20250929
002941.SZ,20250929
300904.SZ,20250929
301099.SZ,20250929
301290.SZ,20250929
600367.SH,20250929
600810.SH,20250929
601218.SH,20250929
000408.SZ,20250930
000426.SZ,20250930
000603.SZ,20250930
000878.SZ,20250930
000923.SZ,20250930
000960.SZ,20250930
001309.SZ,20250930
002125.SZ,20250930
002155.SZ,20250930
002407.SZ,20250930
002513.SZ,20250930
002527.SZ,20250930
002759.SZ,20250930
300475.SZ,20250930
300948.SZ,20250930
301209.SZ,20250930
301308.SZ,20250930
301366.SZ,20250930
301518.SZ,20250930
600096.SH,20250930
600362.SH,20250930
600456.SH,20250930
600490.SH,20250930
600629.SH,20250930
600711.SH,20250930
600728.SH,20250930
601061.SH,20250930
601127.SH,20250930
601168.SH,20250930
601899.SH,20250930
603026.SH,20250930
603799.SH,20250930
605376.SH,20250930
000506.SZ,20251009
000923.SZ,20251009
002895.SZ,20251009
300584.SZ,20251009
300611.SZ,20251009
600888.SH,20251009
601061.SH,20251009
603132.SH,20251009
000726.SZ,20251015
300904.SZ,20251022
000792.SZ,20251024
000737.SZ,20251027
